seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	22806272	22806274	3	*	X001	116837	22286251	22805994	519744	-	277	upstream	277	Rims1
chr1	42696795	42696917	123	*	X002	66297	42590782	42694842	104061	-	1952	upstream	1952	Pantr1
chr1	167001647	167001661	15	*	X008	100503962	166974023	166999728	25706	-	1918	upstream	1918	Gm16701
chr1	167001647	167001661	15	*	X008	226610	167001417	167091302	89886	+	0	inside	229	Fam78b
chr1	184811104	184811242	139	*	X010	66112	184786767	184811313	24547	-	0	inside	70	Mtarc1
chr11	32347918	32347981	64	*	X021	268396	32347820	32428173	80354	+	0	inside	97	Sh3pxd2b
chr11	72135496	72135581	86	*	X025	327958	72047528	72135778	88251	-	0	inside	196	Pitpnm3
chr11	87616977	87617073	97	*	X030	327992	87617164	87659542	42379	+	90	upstream	90	Hsf5
chr11	97413579	97413866	288	*	X035	58996	97415533	97502402	86870	+	1666	upstream	1666	Arhgap23
chr11	97500920	97501065	146	*	X037	100141474	97490783	97500340	9558	-	579	upstream	579	4933428G20Rik
chr12	73546506	73546517	12	*	X043	238257	73543402	73546392	2991	-	113	upstream	113	Tmem30b
chr12	73546506	73546517	12	*	X043	73644	73548478	73551986	3509	+	1960	upstream	1960	2210039B01Rik
chr13	78198201	78198344	144	*	X046	320174	78198017	78236564	38548	+	0	inside	183	A830082K12Rik
chr14	33923766	33923838	73	*	X048	14560	33923587	33937983	14397	+	0	inside	178	Gdf10
chr15	73839854	73839890	37	*	X051	268816	73760067	73839699	79633	-	154	upstream	154	Mroh5
chr15	80173237	80173243	7	*	X054	17309	80173721	80215519	41799	+	477	upstream	477	Mgat3
chr15	101054141	101054149	9	*	X059	668225	101050194	101054399	4206	-	0	inside	249	Fignl2
chr16	43980023	43980027	5	*	X064	332175	43965033	43979791	14759	-	231	upstream	231	Zdhhc23
chr17	29238283	29238332	50	*	X069	240058	29155556	29238167	82612	-	115	upstream	115	Cpne5
chr17	84792389	84792418	30	*	X077	72416	84705247	84790789	85543	-	1599	upstream	1599	Lrpprc
chr18	61035885	61036113	229	*	X081	12590	61018862	61036199	17338	-	0	inside	85	Cdx1
chr18	61036380	61036463	84	*	X082	12590	61018862	61036199	17338	-	180	upstream	180	Cdx1
chr19	7421225	7421551	327	*	X085	102466781	7422573	7422642	70	+	1021	upstream	1021	Mir6991
chr19	59459459	59459599	141	*	X092	329078	59425104	59458635	33532	-	823	upstream	823	Emx2os
chr2	25577189	25577526	338	*	X093	75454	25570174	25575224	5051	-	1964	upstream	1964	Phpt1
chr2	157914436	157914467	32	*	X106	277432	157914653	157944719	30067	+	185	upstream	185	Vstm2l
chr2	160911994	160912187	194	*	X107	280635	160906437	160912328	5892	-	0	inside	140	Emilin3
chr2	163203268	163203513	246	*	X108	269389	163203125	163324170	121046	+	0	inside	142	Tox2
chr2	168742171	168742172	2	*	X113	11981	168634438	168742409	107972	-	0	inside	236	Atp9a
chr2	178414697	178414739	43	*	X116	228966	178411206	178414472	3267	-	224	upstream	224	Ppp1r3d
chr2	178414697	178414739	43	*	X116	71532	178414524	178424428	9905	+	0	inside	172	Fam217b
chr3	104961941	104961957	17	*	X119	22414	104945272	104961921	16650	-	19	upstream	19	Wnt2b
chr4	124894649	124894678	30	*	X127	73628	124890888	124894782	3895	-	0	inside	103	1700125G02Rik
chr4	136956542	136956600	59	*	X131	13842	136929419	136956816	27398	-	0	inside	215	Epha8
chr4	151933425	151933478	54	*	X133	230935	151933691	151982137	48447	+	212	upstream	212	Dnajc11
chr5	28457932	28458088	157	*	X137	654796	28458274	28933995	475722	+	185	upstream	185	9530036O11Rik
chr5	37241713	37241740	28	*	X138	12933	37241940	37292133	50194	+	199	upstream	199	Crmp1
chr6	52164224	52164279	56	*	X148	105242657	52165674	52169451	3778	+	1394	upstream	1394	Hoxaas2
chr6	52316604	52316726	123	*	X150	70593	52308389	52314832	6444	-	1771	upstream	1771	Evx1os
chr6	114398097	114398152	56	*	X154	15465	114397936	114483296	85361	+	0	inside	160	Hrh1
chr6	127769578	127769607	30	*	X155	381813	127689011	127769472	80462	-	105	upstream	105	Prmt8
chr7	16061793	16061912	120	*	X157	666528	16061814	16096334	34521	+	0	overlapStart	0	Zfp541
chr7	27446666	27446721	56	*	X159	233016	27447978	27466144	18167	+	1256	upstream	1256	Blvrb
chr7	45832784	45832806	23	*	X163	101612	45825223	45830944	5722	-	1839	upstream	1839	Grwd1
chr7	122288981	122289011	31	*	X167	18751	122288751	122634402	345652	+	0	inside	229	Prkcb
chr7	142659131	142659216	86	*	X169	111975	142659693	142670356	10664	+	476	upstream	476	Igf2os
chr8	116733550	116733577	28	*	X185	75796	116574400	116732991	158592	-	558	upstream	558	Cdyl2
chr9	111311586	111311743	158	*	X190	320429	111311739	111395775	84037	+	0	overlapStart	0	Trank1
chr9	119579205	119579218	14	*	X191	20271	119483408	119579016	95609	-	188	upstream	188	Scn5a
chr9	122572700	122572715	16	*	X192	319626	122572499	122679596	107098	+	0	inside	200	9530059O14Rik
