seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr6	72596137	72596139	3	*	X001	22999	72596406	73112845	516440	+	266	upstream	266	RIMS1
chr2	105471611	105471733	123	*	X002	5455	105471969	105473471	1503	+	235	upstream	235	POU3F3
chr2	105472257	105472456	200	*	X003	5455	105471969	105473471	1503	+	0	inside	287	POU3F3
chr10	71390290	71390429	140	*	X010	219738	71390003	71393355	3353	+	0	inside	286	FAM241B
chr19	1753939	1754155	217	*	X011	390874	1753662	1775444	21783	+	0	inside	276	ONECUT3
chr5	171881247	171881332	86	*	X014	285590	171760503	171881527	121025	-	0	inside	194	SH3PXD2B
chr17	6459511	6459606	96	*	X015	83394	6354583	6459877	105295	-	0	inside	270	PITPNM3
chr14	36988441	36988558	118	*	X026	253970	36942494	36988817	46324	-	0	inside	258	SFTA3
chr10	48438771	48438855	85	*	X030	2662	48425788	48439138	13351	-	0	inside	282	GDF10
chr22	39852872	39852878	7	*	X034	4248	39853325	39888199	34875	+	446	upstream	446	MGAT3
chr3	113666347	113666355	9	*	X041	254887	113666748	113682211	15464	+	392	upstream	392	ZDHHC23
chr6	36807946	36807996	51	*	X044	57699	36708555	36807220	98666	-	725	upstream	725	CPNE5
chr5	149546447	149546675	229	*	X050	1044	149546344	149564121	17778	+	0	inside	102	CDX1
chr5	149546053	149546179	127	*	X051	1044	149546344	149564121	17778	+	164	upstream	164	CDX1
chr9	139741238	139741581	344	*	X060	29085	139743256	139745490	2235	+	1674	upstream	1674	PHPT1
chr20	36531292	36531324	33	*	X067	128434	36531499	36573747	42249	+	174	upstream	174	VSTM2L
chr20	39995096	39995294	199	*	X068	90187	39988606	39995498	6893	-	0	inside	203	EMILIN3
chr20	50385410	50385411	2	*	X072	10079	50213314	50384908	171595	-	501	upstream	501	ATP9A
chr20	58515579	58515620	42	*	X074	5509	58511887	58515352	3466	-	226	upstream	226	PPP1R3D
chr1	53527373	53527465	93	*	X077	127435	53527724	53551174	23451	+	258	upstream	258	PODN
chr1	22890303	22890488	186	*	X083	2046	22890004	22930087	40084	+	0	inside	298	EPHA8
chr4	5895141	5895168	28	*	X088	1400	5822491	5894785	72295	-	355	upstream	355	CRMP1
chr4	85419330	85419562	233	*	X090	4825	85414436	85419387	4952	-	0	overlapStart	0	NKX6-1
chr12	123635115	123635124	10	*	X091	57605	123468027	123635285	167259	-	0	inside	160	PITPNM2
chr7	27182797	27183025	229	*	X093	3202	27180671	27183287	2617	-	0	inside	261	HOXA5
chr19	40972921	40972984	64	*	X096	645	40953691	40971725	18035	-	1195	upstream	1195	BLVRB
chr19	33792363	33792433	71	*	X098	80054	33793763	33795963	2201	+	1329	upstream	1329	CEBPA-DT
chr19	48947168	48947190	23	*	X100	83743	48949030	48960278	11249	+	1839	upstream	1839	GRWD1
chr11	2160260	2160349	90	*	X102	51214	2161758	2169896	8139	+	1408	upstream	1408	IGF2-AS
chr1	165552356	165552363	8	*	X109	400794	165446079	165551341	105263	-	1014	upstream	1014	LRRC52-AS1
chr16	58497237	58497330	94	*	X112	65009	58497549	58547523	49975	+	218	upstream	218	NDRG4
chr15	65369540	65369542	3	*	X114	51285	65345675	65369028	23354	-	511	upstream	511	RASL12
